GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	INDIGO.NoDrug.Control
cobL	Rv2072c	precorrin-6Y C(5,15)-methyltransferase	hypoxia_late:28%	1.0406	0.117592583183295	916.46	966	996	983	840	806	46.73	24.82
sthA	Rv2713	pyridine nucleotide transhydrogenase	PBS_RIF_DDmtb:18%	0.9235	0.0375119592895388	954.59	835	1295	1261	748	715	151.62	98.84
pca	Rv2967c	pyruvate carboxylase	hypoxia_late:14%	0.8564	0.00220580431237583	1087.27	893	2289	2223	414	386	81.86	78.63
rocD1	Rv2322c	ornithine aminotransferase rocD1	hypoxia_late:16%; ctl_stationary:12%	1.2381	0.30940352196024	892.72	1019	568	804	1079	1052	71.08	26.29
rplM	Rv3443c	50S ribosomal protein L13	hypoxia_rar:13%; human_sputum:11%	1.2712	0.426733413353664	855.09	1062	443	339	1374	1376	876.47	285
gpdA2	Rv2982c	glycerol-3-phosphate dehydrogenase	hypoxia_late:11%; human_sputum:10%	1.0069	0.110074350606429	915.44	866	951	995	916	853	167.6	89.77
Rv1732c	Rv1732c	hypothetical protein	butyrate:10%	1.1813	0.339492318380421	861.9	1001	534	471	1247	1227	400.25	150.17
Rv3635	Rv3635	transmembrane protein	hypoxia_late:22%; PBS_RIF_DDmtb:10%	0.9672	0.0353897263957043	1001.71	907	1398	1633	654	613	38.67	25.62
Rv0481c	Rv0481c	hypothetical protein	human_sputum:20%; hypoxia_late:12%	1.2099	0.37013981397332	862.12	1053	505	468	1256	1212	211.14	75.78
accD5	Rv3280	propionyl-CoA carboxylase subunit beta	tyloxopol:11%	0.8906	0.0213613567401709	992.73	804	1513	1345	683	755	410.1	293.17
thrS	Rv2614c	threonine--tRNA ligase	zinc_limitation:9%	0.871	0.00833798756752282	1033.79	847	1758	1784	577	551	132.53	104.81
folD	Rv3356c	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	hypoxia_late:10%	1.0343	0.167349116176081	898.35	920	828	752	1032	974	184.99	90.77
Rv1628c	Rv1628c	hypothetical protein	hypoxia_fatty_acids:19%	1.2118	0.403358740455745	858.53	1056	491	382	1294	1320	638.04	224.8
ctpJ	Rv3743c	cation transporter ATPase J	cholesterol:18%; hypoxia_late:17%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:11%	0.9723	0.0447853499048965	1000.66	1045	1459	1417	622	628	23.07	15.3
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	1.1257	0.178337161365751	954.38	1197	983	1141	711	788	14.04	6.92
viuB	Rv2895c	mycobactin utilization protein ViuB	hypoxia_late:9%	1.024	0.162516217524746	908.05	892	833	829	1013	981	239.02	119.44
espJ	Rv3878	ESX-1 secretion-associated protein EspJ	tyloxopol:8%	1.0262	0.163822790071115	910.8	873	838	732	1024	1112	701.69	350.25
adhB	Rv0761c	alcohol dehydrogenase B	ctl_exponential:11%	0.9482	0.0803512231351547	943.17	836	1094	1002	875	920	400.5	236.28
asd	Rv3708c	aspartate-semialdehyde dehydrogenase	microaerophilic:25%	0.9742	0.103508317685509	945.58	853	1014	1015	912	939	357.37	199.85
gcvT	Rv2211c	aminomethyltransferase	tyloxopol:11%	0.957	0.0803822365656615	957.99	843	1085	1185	865	838	234.78	137.89
Rv0367c	Rv0367c	hypothetical protein	hypoxia_late:15%; ctl_stationary:10%	1.3765	0.516347198902099	892.35	1140	371	427	1524	1342	205.4	57.63
Rv0955	Rv0955	integral membrane protein	ctl_exponential:8%	0.8995	0.0473243603702727	995.15	851	1321	1327	784	772	240.14	158.41
Rv1157c	Rv1157c	hypothetical protein	microaerophilic:11%; tyloxopol:10%	0.9324	0.0899419510143034	955.8	871	1096	1055	892	877	290.32	172.63
Rv0439c	Rv0439c	dehydrogenase/reductase	hypoxia_late:10%	1.0281	0.168377546640581	942.11	937	873	1027	961	916	90.64	45.96
rslA	Rv0736	anti-sigma-L factor RslA	hypoxia_late:21%; PBS_RIF_DDmtb:20%; nutrient_limitation:16%	1.144	0.301718178559972	914.3	1088	678	745	1057	1047	57.6	23.92
eis	Rv2416c	enhanced intracellular survival protein	hypoxia_late:21%	1.0108	0.135965476176071	975.44	997	1028	1217	829	832	41.69	22.81
alaS	Rv2555c	alanine--tRNA ligase	microaerophilic:34%	0.8371	0.0033746068302972	1131.15	854	2107	2092	478	647	447	406.89
glmU	Rv1018c	bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate	tyloxopol:7%	0.8703	0.0385729725220244	1012.89	869	1444	1356	755	748	228.77	158.72
bkdA	Rv2497c	branched-chain keto acid dehydrogenase E1 component subunit alpha	microaerophilic:30%	0.9253	0.1013500613905	965.13	895	1109	1026	906	899	257.62	152.64
Rv2326c	Rv2326c	ABC transporter ATP-binding protein	microaerophilic:9%	0.846	0.00932255300680506	1075.09	860	1825	1819	586	627	257.2	208.67
egtE	Rv3700c	pyridoxal-phosphate-dependent protein EgtE	hypoxia_late:18%	0.9391	0.0956395233844301	986.25	915	1144	1210	871	821	111.91	66.22
MT0270	MT0270	hypothetical protein	cholesterol:9%	0.9824	0.101463429376031	1002.56	578	372	274	1610	3400	491.34	140.47
fadE5	Rv0244c	acyl-CoA dehydrogenase FadE5	low_iron:23%	0.8633	0.0175242673756207	1057.02	822	1650	1579	633	805	587.21	448.51
uvrD1	Rv0949	ATP-dependent DNA helicase UvrD	hypoxia_late:11%; zinc_limitation:11%	0.8318	0.00837596054555961	1084.67	921	1937	1902	570	521	85.45	71.58
ftsK	Rv2748c	DNA translocase FtsK	high_iron:10%	0.8163	0.00417622975608568	1122.95	879	2092	2206	487	535	214.48	196.31
udgB	Rv1259	uracil DNA glycosylase	hypoxia_late:34%	1.1365	0.302886672731816	941.46	1162	742	876	948	1005	30.25	13.04
Rv3394c	Rv3394c	hypothetical protein	hypoxia_late:41%; zinc_limitation:10%	1.0876	0.187475855358873	1008.16	1209	1063	1298	730	803	14.81	7.72
Rv0745	Rv0745	hypothetical protein	hypoxia_late:48%	1.4806	0.615669463433187	928.79	1316	386	764	1049	1327	21.75	5.1
Rv2294	Rv2294	cystathionine beta-lyase	hypoxia_late:15%	0.9356	0.10330518226012	1001.12	960	1176	1235	866	804	77.89	46.75
mrsA	Rv3441c	phosphoglucosamine mutase	hypoxia_late:10%	0.8713	0.0597295488267065	1015.78	894	1349	1281	824	797	217.9	145.4
Rv3658c	Rv3658c	transmembrane protein	hypoxia_late:19%	1.0484	0.243208984224953	942.66	1021	795	815	1080	1021	107.56	50.52
hflX	Rv2725c	GTP-binding protein HflX	zinc_limitation:9%	0.8584	0.043286138806361	1032.02	888	1463	1410	764	750	207.15	144.76
emrB	Rv0783c	multidrug resistance protein EmrB	hypoxia_late:10%	0.845	0.0366334952611953	1040.48	933	1567	1434	735	685	108.54	78.3
Rv1378c	Rv1378c	hypothetical protein	zinc_limitation:16%; hypoxia_late:14%	0.912	0.0724002478677139	1023.89	964	1322	1373	790	752	60.59	38.85
Rv3519	Rv3519	hypothetical protein	hypoxia_fatty_acids:12%	1.04	0.26773829058276	922.03	977	757	571	1159	1233	858.04	395.74
Rv2413c	Rv2413c	hypothetical protein	acidic_tyloxopol:11%	0.9478	0.158363674648893	965.2	930	986	933	986	992	285.21	157.05
pimB	Rv2188c	alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	acidic_tyloxopol:14%; hypoxia_late:12%	0.9327	0.122418992770087	998.96	973	1149	1145	898	849	89.84	52.67
Rv0218	Rv0218	transmembrane protein	hypoxia_late:25%; human_sputum:10%	0.9568	0.117370343703911	1023.07	1026	1166	1376	816	789	40.02	23.88
Rv2912c	Rv2912c	TetR family HTH-type transcriptional regulator	hypoxia_fatty_acids:53%; butyrate:13%	1.1465	0.412358700214763	920.36	1130	581	578	1242	1203	108.43	41.9
Rv2668	Rv2668	hypothetical protein	hypoxia_late:20%; butyrate:11%	1.2054	0.473947921643261	918.37	1161	508	545	1303	1258	123.51	43.53
Rv0494	Rv0494	HTH-type transcriptional regulator	hypoxia_late:25%; ctl_stationary:12%	1.099	0.336061664880486	945.37	1107	689	785	1107	1084	67.58	29.11
Rv0762c	Rv0762c	hypothetical protein	microaerophilic:15%; ctl_stationary:10%; hypoxia_late:10%; hypoxia_fatty_acids:10%	1.1582	0.443399039668333	916.32	1136	543	535	1281	1255	148.28	55.41
dut	Rv2697c	deoxyuridine 5'-triphosphate nucleotidohydrolase	human_sputum:11%	1.2184	0.490793646511521	927.32	1114	468	505	1456	1341	451.95	154.62
echA9	Rv1071c	enoyl-CoA hydratase EchA9	tyloxopol:10%	0.9242	0.145115061450793	997.89	957	1057	1110	959	913	142.34	81.91
Rv1151c	Rv1151c	NAD-dependent protein deacylase	hypoxia_late:14%	1.0632	0.293662311070894	954.93	1040	725	801	1150	1097	150.19	67.3
hycD	Rv0084	formate hydrogenlyase HycD	hypoxia_late:9%	0.9447	0.17693790915341	973.42	988	993	904	1016	968	154.34	84.25
Rv0097	Rv0097	oxidoreductase	hypoxia_late:21%; human_sputum:19%	1.0036	0.236582912567854	955.58	1059	853	825	1047	1007	83.97	41.94
Rv0147	Rv0147	aldehyde dehydrogenase	PBS_RIF_DDmtb:11%	0.8401	0.0418374902205945	1057.18	881	1512	1456	752	808	365.64	262.79
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.8165	0.0128515404500533	1114.57	958	1886	2055	579	536	52.73	44.37
Rv2971	Rv2971	oxidoreductase	tyloxopol:10%	0.9705	0.206512219110281	965.25	945	895	810	1077	1116	507.57	263.53
fbiB	Rv3262	coenzyme F420:L-glutamate ligase	hypoxia_late:17%	0.8694	0.0804734916684458	1031.6	983	1341	1265	841	787	88.47	58.02
lprA	Rv1270c	lipoprotein LprA	hypoxia_late:8%	1.0192	0.274547276345803	952.27	1031	785	709	1160	1121	250.07	117.72
Rv0496	Rv0496	hypothetical protein	ctl_stationary:8%	0.9097	0.161269705410773	993.46	956	1064	934	993	1023	369.1	212.01
glcB	Rv1837c	malate synthase	high_iron:9%	0.8116	0.0102929915033497	1132.1	886	1950	1859	572	744	546.3	466.68
Rv3779	Rv3779	transmembrane protein	hypoxia_late:12%	0.8089	0.0191707813352757	1101.87	939	1808	1856	646	591	80.03	64.58
fadH	Rv1175c	NADPH dependent 2,4-dienoyl-CoA reductase FadH	hypoxia_rar:8%	0.8053	0.0147296238630167	1113.78	918	1854	1857	627	644	201.39	165.25
carA	Rv1383	carbamoyl-phosphate synthase small subunit	hypoxia_late:14%; zinc_limitation:13%	0.9208	0.165267440036498	1000.88	1077	1114	993	936	893	61.48	35.74
Rv1517	Rv1517	hypothetical protein	human_sputum:16%; hypoxia_late:12%; microaerophilic:12%	1.0786	0.346255794365237	966.66	1146	756	750	1128	1098	63.19	27.69
PE17	Rv1646	PE family protein PE17	PBS_RIF_DDmtb:11%; butyrate:11%	0.9195	0.184383590763923	989.32	967	1009	842	1050	1088	474.92	265.31
fbiC	Rv1173	FO synthase	PBS_RIF_DDmtb:7%	0.7971	0.00539715653014438	1164.95	898	2117	2119	512	677	426.88	390.86
Rv2264c	Rv2264c	hypothetical protein	hypoxia_late:23%	0.8386	0.0447997276530788	1077.47	1011	1598	1601	703	667	47.98	35.55
Rv2390c	Rv2390c	hypothetical protein	hypoxia_rar:14%; nutrient_limitation:10%	1.1077	0.441794810887521	942.74	1134	598	565	1302	1263	263.33	104.07
ASpks	ASpks	putative small regulatory RNA	hypoxia_late:38%; human_sputum:13%	1.997	0.884254810077068	958.45	1407	140	375	2023	1690	127.38	14.47
Rv0876c	Rv0876c	transmembrane protein	microaerophilic:16%	0.8124	0.0369937294703209	1081.55	927	1619	1607	733	707	153.03	114.95
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	1.0849	0.36248399608015	985.45	1147	745	828	1118	1128	57.39	24.84
Rv3672c	Rv3672c	hypothetical protein	zinc_limitation:10%	0.9653	0.242343540101818	977.91	1039	881	788	1133	1070	227.25	116.15
Rv2323c	Rv2323c	hypothetical protein	ctl_stationary:15%; hypoxia_late:12%; hypoxia_fatty_acids:11%; PBS_RIF_DDmtb:10%	0.9993	0.266835824749349	988.88	1119	884	902	1031	1018	57.28	28.7
mce3F	Rv1971	Mce family protein Mce3F	hypoxia_late:28%; ctl_stationary:13%	1.1271	0.30549399616916	1042.6	1280	913	1319	798	954	13.79	6.23
fadE6	Rv0271c	acyl-CoA dehydrogenase FadE6	microaerophilic:21%	0.7864	0.0110516734174637	1136.69	928	1967	1990	594	614	204.88	176.38
Rv3718c	Rv3718c	hypothetical protein	tyloxopol:12%; human_sputum:11%	1.2065	0.565676108872582	953.7	1230	462	395	1650	1395	196.86	65.92
fadE2	Rv0154c	acyl-CoA dehydrogenase FadE2	zinc_limitation:10%	0.8544	0.108824434789797	1036.18	980	1277	1195	907	854	136.03	87.31
ureG	Rv1852	urease accessory protein UreG	hypoxia_late:20%	1.1208	0.411194808529264	998.24	1144	662	914	1177	1148	76.46	31.25
Rv2191	Rv2191	hypothetical protein	hypoxia_late:24%; zinc_limitation:14%	0.8318	0.0455321745692832	1110.53	1073	1688	1676	688	656	35.77	27.15
purA	Rv0357c	adenylosuccinate synthetase	hypoxia_late:10%	0.8628	0.103549289042779	1054.4	1009	1335	1277	876	825	90.82	58.71
Rv1931c	Rv1931c	transcriptional regulator	hypoxia_late:32%; ctl_stationary:11%	1.1605	0.455013729634673	1004.37	1260	653	989	1051	1125	27.54	10.87
Rv2449c	Rv2449c	trans-acting enoyl reductase	hypoxia_late:8%	0.8476	0.107519900159269	1053.2	1007	1324	1258	891	831	109.47	71.53
Rv3659c	Rv3659c	conjugal transfer protein	hypoxia_late:28%; PBS_RIF_DDmtb:23%; ctl_stationary:13%	1.0075	0.263093771990753	1019.03	1174	972	1036	955	966	35.02	17.88
Rv1276c	Rv1276c	hypothetical protein	hypoxia_late:22%	1.1922	0.575398149570452	968.44	1263	490	450	1591	1356	108.11	37.07
glpX	Rv1099c	fructose 1,6-bisphosphatase	hypoxia_late:13%	0.8579	0.145720166841274	1033.46	1003	1196	1049	973	955	220.36	136.26
PPE45	Rv2892c	PPE family protein PPE45	hypoxia_late:26%; PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.9536	0.177574982795044	1054.04	1095	1084	1425	855	860	37.07	21.26
Rv0192	Rv0192	hypothetical protein	human_sputum:8%	0.8634	0.141510381209486	1045.72	985	1219	1085	968	982	301.11	185.81
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	1.4851	0.807969381369057	947.99	1329	270	180	2091	1757	3999.49	894.27
entC	Rv3215	isochorismate synthase	acidic_tyloxopol:8%	0.8657	0.141169325221398	1052.11	998	1197	1236	957	894	147.82	91.56
Rv2700	Rv2700	hypothetical protein	tyloxopol:10%	1.039	0.37781259879709	992.99	1082	702	805	1239	1197	258.87	115.01
Rv1692	Rv1692	phosphatase	hypoxia_late:16%	0.902	0.187742632756979	1027.87	1085	1111	1022	979	947	87.02	50.47
Rv2000	Rv2000	hypothetical protein	hypoxia_late:21%; ctl_stationary:11%	0.8682	0.0986147229465672	1113.17	1115	1494	1536	787	758	36.99	25.07
Rv0784	Rv0784	hypothetical protein	hypoxia_late:20%	1.0394	0.412599531297903	985.97	1185	724	670	1225	1210	84.31	37.09
pknE	Rv1743	serine/threonine-protein kinase PknE	hypoxia_late:13%	0.7878	0.0406099396955023	1118.38	987	1717	1632	744	712	136.39	104.78
Rv2972c	Rv2972c	hypothetical protein	hypoxia_late:10%	0.9929	0.340549106727729	995.74	1098	787	760	1213	1169	204.2	96.72
lprD	Rv1343c	lipoprotein LprD	low_iron:24%; human_sputum:18%	1.2629	0.66124206215083	997.7	1274	410	442	1827	1461	281.33	85.81
bglS	Rv0186	beta-glucosidase BglS	hypoxia_fatty_acids:22%; PBS_RIF_DDmtb:19%; microaerophilic:17%	0.7638	0.017075336039381	1147.72	963	1936	1929	642	630	146.34	124.73
Rv0142	Rv0142	hypothetical protein	hypoxia_late:21%	0.9356	0.25068891878024	1021.59	1096	970	967	1058	1020	88.62	47.69
Rv0939	Rv0939	bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase	microaerophilic:21%	0.7697	0.02244796949224	1143.41	955	1863	1843	672	684	194.15	160.52
uspC	Rv2318	sugar ABC transporter substrate-binding lipoprotein UspC	hypoxia_late:25%; ctl_stationary:11%	0.9143	0.177250305482094	1068.56	1158	1201	1305	856	863	32.17	19.44
Rv2765	Rv2765	hydrolase	hypoxia_late:18%	1.0949	0.438285963131804	1024.01	1231	716	907	1134	1181	48.07	20.13
eccD2	Rv3887c	ESX-2 secretion system protein EccD	hypoxia_late:19%	0.8057	0.0735028233571781	1111.77	1058	1558	1493	817	756	79.71	57.4
Rv1333	Rv1333	hydrolase	hypoxia_late:9%	0.8673	0.175179214620895	1053.97	1028	1158	1084	1003	1001	258.65	155.48
MT0407	MT0407	hypothetical protein	hypoxia_late:34%	1.2104	0.621650536567747	1011.12	1283	465	616	1547	1403	76.61	25.46
Rv3091	Rv3091	hypothetical protein	hypoxia_late:13%	0.7757	0.0434126200787217	1128.3	1012	1731	1618	757	718	127.81	98.93
ccdA	Rv0527	cytochrome C-type biogenesis protein CcdA	high_iron:13%; ctl_exponential:12%; hypoxia_late:11%	0.9515	0.302943523334403	1012.39	1079	857	835	1178	1139	230.82	116.77
hspR	Rv0353	heat shock protein transcriptional repressor HspR	hypoxia_fatty_acids:11%; microaerophilic:11%	1.2193	0.683532660153408	998.12	1303	429	326	1919	1544	647.14	204.76
clpC1	Rv3596c	ATP-dependent protease ATP-binding subunit ClpC	zinc_limitation:13%	0.7891	0.00853032481587008	1221.68	903	2127	2108	522	890	1000.73	919.84
Rv0647c	Rv0647c	hypothetical protein	hypoxia_rar:11%	0.8001	0.0680233840884771	1122.79	974	1560	1546	827	827	243.79	176.16
Rv2120c	Rv2120c	integral membrane protein	hypoxia_late:10%	1.1091	0.57923261375951	996.07	1258	535	407	1714	1416	309.98	115.74
bacA	Rv1819c	vitamin B12 transport ATP-binding protein BacA	hypoxia_late:13%	0.7817	0.032390415213175	1155.05	1023	1811	1926	694	633	68.45	55.23
plsC	Rv2483c	bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate	microaerophilic:13%; acidic:11%	0.765	0.0394059095481733	1143.86	1008	1767	1745	740	694	121.51	96.51
ppk1	Rv2984	polyphosphate kinase	hypoxia_late:9%	0.7502	0.013945503956325	1174.13	1000	2044	2069	611	590	115.1	101.71
Rv0397	Rv0397	hypothetical protein	hypoxia_late:36%	1.3392	0.752271286858456	1018.22	1338	382	482	1830	1497	79.56	21.55
Rv1995	Rv1995	hypothetical protein	hypoxia_late:22%; ctl_stationary:13%; PBS_RIF_DDmtb:12%	1.1367	0.514296590653175	1047.27	1319	661	1076	1055	1190	25.2	9.99
glyA2	Rv0070c	serine hydroxymethyltransferase	hypoxia_late:13%; acidic_tyloxopol:11%	0.8211	0.129130664448593	1102.66	1069	1369	1364	915	850	89.17	59.43
rpfD	Rv2389c	resuscitation-promoting factor RpfD	hypoxia_rar:11%; nutrient_limitation:11%	1.1588	0.59668329461932	1023.95	1233	507	566	1694	1400	328.26	116.41
Rv0497	Rv0497	transmembrane protein	hypoxia_late:10%	0.8765	0.229755034004513	1049.1	1067	1056	947	1101	1078	260.62	149.44
Rv3778c	Rv3778c	aminotransferase	zinc_limitation:13%	0.8166	0.130714219525304	1108.14	993	1336	1331	932	984	379.84	252.15
Rv1250	Rv1250	MFS-type drug transporter	hypoxia_late:12%	0.7886	0.055558388100361	1148.15	1092	1749	1653	753	700	67.11	51.05
MT1839.1	MT1839.1	hypothetical protein	hypoxia_late:25%; acidic_tyloxopol:11%; hypoxia_rar:10%	1.8457	0.933022729932617	1025.14	1510	171	469	2025	1722	53.37	6.56
MT0347	MT0347	hypothetical protein	hypoxia_fatty_acids:11%	0.8919	0.223603610355537	1069.64	1090	1080	1140	1048	993	124.07	71.01
sigB	Rv2710	RNA polymerase sigma factor SigB	hypoxia_fatty_acids:14%; nutrient_limitation:14%; PBS_RIF_DDmtb:11%	0.8792	0.225629238998364	1058.66	975	1081	918	1044	1294	1683.89	988.18
moxR2	Rv3692	methanol dehydrogenase transcriptional regulator MoxR	hypoxia_late:10%	0.8633	0.178769193834379	1096.04	1051	1170	1372	976	938	132.34	80.74
Rv2209	Rv2209	integral membrane protein	PBS_RIF_DDmtb:8%	0.7731	0.0623504638392421	1142.98	990	1615	1678	808	784	193.57	146.08
rpsN2	Rv2056c	30S ribosomal protein S14	zinc_limitation:40%; human_sputum:27%	1.3654	0.794295035679781	1006.81	1363	332	358	2004	1586	166.32	42.48
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	1.0528	0.529341177061294	1012.24	1314	694	605	1299	1285	53.39	22.25
Rv0991c	Rv0991c	hypothetical protein	ctl_stationary:21%; hypoxia_fatty_acids:20%; microaerophilic:10%	1.2631	0.768115363969275	1007.65	1362	384	294	2046	1587	483.62	140.46
Rv0776c	Rv0776c	hypothetical protein	hypoxia_late:22%	0.9837	0.385112995198166	1035.01	1193	830	834	1185	1170	75.23	36.01
Rv1714	Rv1714	oxidoreductase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	0.9932	0.38595252675017	1044.57	1198	825	964	1135	1124	57.53	27.71
Rv0188	Rv0188	transmembrane protein	hypoxia_fatty_acids:22%; acidic:16%; cholesterol:11%	1.1458	0.651383190028892	1019.48	1301	488	391	1852	1496	478.42	167.23
Rv3196	Rv3196	hypothetical protein	hypoxia_late:19%	0.9062	0.297157376324176	1048.31	1170	992	887	1126	1079	87.42	47.4
Rv3137	Rv3137	histidinol-phosphatase	acidic:19%; zinc_limitation:17%; PBS_RIF_DDmtb:11%	0.9231	0.346093099238832	1043.19	1153	892	836	1207	1157	154.89	79.66
dipZ	Rv2874	integral membrane C-type cytochrome biogenesis protein DipZ	PBS_RIF_DDmtb:58%	0.7964	0.0487333361550458	1186.64	1112	1790	2054	668	646	29.36	23.62
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	0.9999	0.483345343023985	1025.47	1203	709	619	1409	1324	349.39	154.92
Rv0731c	Rv0731c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:16%	0.9003	0.278360342522843	1072.76	1160	1054	1010	1103	1040	88.38	49.01
Rv0892	Rv0892	monooxygenase	hypoxia_late:13%	0.7766	0.0785518920378371	1149.75	1048	1562	1681	836	769	104.8	77.48
nadC	Rv1596	nicotinate-nucleotide pyrophosphatase	microaerophilic:22%	0.9031	0.29833973445602	1058.69	1046	981	803	1144	1359	1805.18	989.92
espA	Rv3616c	ESX-1 secretion-associated protein EspA	acidic:20%; acidic_tyloxopol:13%; zinc_limitation:11%; butyrate:10%	0.8202	0.155867527615854	1125.66	981	1329	1190	937	1216	1475.25	975.75
Rv2037c	Rv2037c	transmembrane protein	hypoxia_fatty_acids:14%; hypoxia_late:11%	0.8953	0.280172730355502	1070.46	1181	1050	1025	1071	1029	68.71	38.62
Rv3683	Rv3683	hypothetical protein	PBS_RIF_DDmtb:8%	0.8466	0.231846905592196	1074.08	1074	1098	1003	1097	1100	321.62	191.21
hisD	Rv1599	histidinol dehydrogenase	microaerophilic:34%	0.7781	0.115459813519843	1130.03	1072	1491	1350	910	889	184.8	129.51
Rv2799	Rv2799	membrane protein	butyrate:9%	0.9978	0.479105205367808	1033.34	1212	729	738	1304	1270	230.42	103.35
pknA	Rv0015c	serine/threonine-protein kinase PknA	microaerophilic:20%	0.7845	0.113425804595461	1137.52	1042	1458	1401	903	942	311.95	217.98
Rv3649	Rv3649	helicase	hypoxia_late:43%	0.8183	0.0662151618162034	1190.52	1247	1834	1868	636	673	18.01	14.2
xthA	Rv0427c	exodeoxyribonuclease III protein XthA	zinc_limitation:15%; hypoxia_late:14%	0.8996	0.309430140475137	1056.6	1175	995	869	1156	1104	117.06	63.3
rip	Rv2869c	zinc metalloprotease	zinc_limitation:8%	0.7961	0.137344984698266	1129.28	1055	1389	1324	952	963	269.48	181.58
ephD	Rv2214c	oxidoreductase EphD	zinc_limitation:12%	0.7406	0.0398662272536017	1182.76	995	1836	1841	726	768	277.69	227.32
Rv0862c	Rv0862c	hypothetical protein	hypoxia_late:22%	0.7358	0.0257366923567652	1208.35	1103	2063	2029	653	604	48.14	42.18
moeA2	Rv0438c	molybdopterin molybdenumtransferase	hypoxia_late:12%	0.8077	0.161010829527052	1127.11	1117	1366	1320	962	908	103.81	68.43
Rv1519	Rv1519	hypothetical protein	human_sputum:15%; hypoxia_late:12%; hypoxia_hypoxic:12%	1.3955	0.862088880223679	1013.39	1485	304	239	2155	1707	140.36	33.05
Rv0811c	Rv0811c	hypothetical protein	zinc_limitation:9%	0.8037	0.18681283054027	1105.34	1108	1278	1168	1011	975	151.9	97.84
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.8885	0.302013998457047	1074.27	1071	984	915	1152	1267	895.54	495.27
Rv2372c	Rv2372c	rRNA small subunit methyltransferase E	PBS_RIF_DDmtb:11%; microaerophilic:10%	0.9135	0.339528996309436	1071.31	1111	891	1032	1192	1144	219.9	115.64
Rv1288	Rv1288	hypothetical protein	acidic_tyloxopol:12%; hypoxia_late:12%	0.8435	0.158986970070559	1155.34	1143	1376	1646	873	837	43.74	28.85
Rv2468c	Rv2468c	hypothetical protein	ctl_exponential:9%	1.0637	0.601322138050776	1050.25	1249	585	512	1716	1479	803.73	318.3
lpqO	Rv0604	lipoprotein LpqO	hypoxia_late:26%	0.8987	0.299522342644366	1100.7	1168	1021	1180	1088	1051	72.8	40.45
Rv0480c	Rv0480c	amidohydrolase	hypoxia_late:14%	0.8972	0.344245880310321	1069.44	1178	950	926	1179	1129	106.32	57.06
Rv0622	Rv0622	membrane protein	hypoxia_late:19%; ctl_stationary:11%	1.008	0.463118112762314	1077.6	1358	900	936	1087	1137	24.77	11.72
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	0.8614	0.161056608696261	1172.5	1289	1486	1640	767	816	18.08	12.31
fhaA	Rv0020c	FHA domain-containing protein FhaA	human_sputum:8%	0.7623	0.0646156183626336	1183.95	976	1698	1585	793	1000	753.5	581.89
Rv0779c	Rv0779c	transmembrane protein	hypoxia_late:35%	1.0292	0.551287201354362	1052.26	1312	696	681	1412	1290	81.37	34.64
lppD	Rv1899c	lipoprotein LppD	microaerophilic:15%	0.8186	0.218001427901961	1114.69	1065	1225	1053	1060	1176	732.97	458.52
dacB1	Rv3330	penicillin-binding protein DacB	hypoxia_late:17%; tyloxopol:12%; high_iron:12%	0.8097	0.16581021993778	1144.1	1104	1346	1466	954	902	96.26	63.49
serV	Rvnt41	tRNA-Ser	human_sputum:18%; hypoxia_late:16%	1.6622	0.941704389689519	1063.78	1315	153	110	3026	2396	524.26	71.02
Rv2732c	Rv2732c	transmembrane protein	hypoxia_late:9%	0.9784	0.501824005094471	1056.06	1246	738	620	1495	1329	283.65	128.06
Rv2585c	Rv2585c	lipoprotein	human_sputum:9%	0.734	0.0526274779996871	1201.27	1037	1779	1882	771	771	208.73	167.91
Rv2410c	Rv2410c	hypothetical protein	zinc_limitation:8%	0.8404	0.251805943915248	1122.02	1129	1123	1238	1091	1034	168.48	100.96
