GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	sputum_250754_W0	sputum_503557_W0
pepC	Rv0800	M18 family aminopeptidase	hypoxia_late:25%	0.6774	0.394145105707092	829.94	687	825	1030	949	687	82.16	49.77
MT3580.2	MT3580.2	hypothetical protein	acidic:20%; ctl_exponential:12%; hypoxia_hypoxic:12%	0.6762	0.443839846346246	814.32	746	818	720	1029	776	529.18	321.38
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.6522	0.3758424122151	815.26	682	869	745	1016	784	894.49	558.28
pknK	Rv3080c	serine/threonine-protein kinase PknK	hypoxia_late:24%; ctl_stationary:12%	0.6884	0.412160996244036	834.14	732	884	908	964	699	26.34	15.25
Rv0756c	Rv0756c	hypothetical protein	hypoxia_late:7%	0.6639	0.391043578962934	823.22	707	847	904	1000	680	202.38	124.47
Rv3269	Rv3269	hypothetical protein	hypoxia_fatty_acids:36%; butyrate:11%	0.6694	0.428801711280151	814.94	737	828	785	1018	723	316.72	193.87
MT3290.2	MT3290.2	hypothetical protein	hypoxia_hypoxic:14%; hypoxia_rar:12%; PBS_RIF_DDmtb:10%	0.8211	0.609036192155334	804.06	933	622	689	855	949	147.42	78.15
ctaB	Rv1451	protoheme IX farnesyltransferase	INDIGO_exponential:9%	0.6506	0.380455950575497	820.12	694	876	800	1024	727	404.34	252.06
Rv2414c	Rv2414c	hypothetical protein	hypoxia_late:18%	0.6566	0.375752154713918	827.69	699	878	880	1019	686	148.68	91.61
MT1121	MT1121	hypothetical protein	hypoxia_late:32%; hypoxia_hypoxic:11%	0.9994	0.744542616820497	800.35	1093	455	531	847	1219	38.94	16.64
lppC	Rv1911c	lipoprotein LppC	acidic_tyloxopol:10%	0.6537	0.384899180606611	823.41	715	882	806	1046	692	345.73	213.94
Rv1888c	Rv1888c	transmembrane protein	INDIGO_exponential:8%	0.6571	0.417680251833748	822.94	730	864	728	1058	757	183.57	112.47
MT2367	MT2367	hypothetical protein	acidic_tyloxopol:9%	0.8879	0.662087536837224	817.88	980	557	794	810	989	40.99	19.91
sigF	Rv3286c	RNA polymerase sigma factor SigF	nutrient_limitation:14%; microaerophilic:10%	0.6496	0.396606344347867	824.4	724	872	804	1049	696	195.53	121.37
leuX	Rvnt17	tRNA-Leu	hypoxia_late:13%; tyloxopol:11%	0.8721	0.670283972870657	810.2	1002	567	579	951	1021	125.08	62.88
Rv2250c	Rv2250c	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:17%; PBS_RIF_DDmtb:13%	0.7341	0.505814136773578	833.29	782	749	921	918	804	66.49	37.98
Rv3651	Rv3651	hypothetical protein	butyrate:10%	0.6582	0.415620194782196	837.22	719	871	853	1039	724	113.8	69.54
Rv2159c	Rv2159c	hypothetical protein	microaerophilic:20%; cholesterol:14%; acidic_tyloxopol:10%	0.7029	0.474663067546611	846.95	752	786	1039	924	752	46.75	27.47
MT0122	MT0122	phosphoheptose isomerase	butyrate_plus_glucose:9%	0.6607	0.416003546862975	853.71	711	868	978	1021	715	95.36	58.16
MT0608	MT0608	hypothetical protein	microaerophilic:8%	0.6492	0.436144289885986	833.23	750	861	780	1059	736	218.87	135.72
Rv2632c	Rv2632c	hypothetical protein	acidic:32%; acidic_tyloxopol:12%	0.6572	0.441078621771602	835.97	749	850	805	1047	746	329.87	203.47
mazE1	Rv0456B	antitoxin MazE1	ctl_stationary:14%; hypoxia_late:12%	0.75	0.559113737113401	836.07	850	712	810	936	881	164.19	93.08
Rv1482c	Rv1482c	hypothetical protein	hypoxia_late:18%; ctl_stationary:12%	0.782	0.591565220775433	834.85	914	678	940	795	861	27.55	14.75
PE3	Rv0159c	PE family protein PE3	hypoxia_late:19%	0.6589	0.439433584566849	857.41	729	862	976	1007	733	63	38.37
Rv0223c	Rv0223c	aldehyde dehydrogenase	hypoxia_late:12%; acidic:11%	0.6352	0.396478376889427	851.16	708	892	911	1062	709	165.78	104.14
Rv1847	Rv1847	esterase	low_iron:11%	0.6386	0.424994912920064	845.02	754	890	814	1076	714	406.02	254.2
Rv0075	Rv0075	aminotransferase	INDIGO_exponential:10%	0.66	0.440522962605504	857.52	722	839	1013	992	743	69.04	42.2
Rv0188	Rv0188	transmembrane protein	hypoxia_fatty_acids:22%; acidic:16%; cholesterol:11%	0.6247	0.407458340757021	840.57	734	913	762	1096	726	475.65	301.22
dut	Rv2697c	deoxyuridine 5'-triphosphate nucleotidohydrolase	human_sputum:11%	0.6256	0.413359086157686	845.29	748	906	787	1090	721	451.89	286.23
argA	Rv2747	L-glutamate alpha-N-acetyltranferase	hypoxia_late:11%; human_sputum:11%	0.6963	0.507192600511037	844.32	810	800	815	991	813	84.68	50.05
Rv1691	Rv1691	hypothetical protein	hypoxia_late:23%; hypoxia_rar:10%	0.6481	0.443281371849616	851.91	757	889	812	1071	750	149.87	92.28
MT2988.1	MT2988.1	hypothetical protein	hypoxia_late:31%; ctl_stationary:18%	1.7985	0.956276822193482	777.04	1373	72	87	1790	1781	11.57	0
MT0124	MT0124	hypothetical protein	acidic:16%; acidic_tyloxopol:16%; hypoxia_hypoxic:15%; hypoxia_rar:11%	0.9926	0.767576902542305	833.12	1136	467	655	853	1170	38.32	16.49
MT0910.4	MT0910.4	hypothetical protein	PBS_RIF_DDmtb:27%; hypoxia_late:23%; ctl_stationary:14%	1.6216	0.947073407369732	783.08	1358	99	123	1736	1629	8.86	0
Rv1723	Rv1723	hydrolase	hypoxia_late:31%	0.6949	0.506756072216222	860.5	808	835	855	995	816	39.75	22.98
Rv3278c	Rv3278c	transmembrane protein	human_sputum:13%; tyloxopol:11%	0.6465	0.449394250501768	858.1	736	855	910	1045	762	166.61	103.51
pdc	Rv0853c	alpha-keto-acid decarboxylase	hypoxia_late:13%	0.6298	0.421006114551585	864.3	738	919	885	1087	718	113.8	71.28
fbiB	Rv3262	coenzyme F420:L-glutamate ligase	hypoxia_late:17%	0.6359	0.440227959052447	861.84	758	905	861	1074	732	88.38	54.97
Rv3815c	Rv3815c	acyltransferase	hypoxia_late:10%	0.6302	0.42886746552303	861.9	740	894	887	1084	728	194.3	122.23
Rv1332	Rv1332	transcriptional regulator	acidic:11%; cholesterol:11%	0.6223	0.418149129070669	860.18	726	916	835	1093	755	493.31	313.92
Rv2548A	Rv2548A	hypothetical protein	acidic_tyloxopol:8%	0.6294	0.448904429663542	857.46	773	899	790	1099	749	340.31	214.11
recD	Rv0629c	exonuclease V subunit alpha RecD	hypoxia_late:28%	0.6808	0.489513103345536	870.97	794	877	881	1025	788	33.08	19.31
mbtE	Rv2380c	peptide synthetase	low_iron:44%; human_sputum:12%	0.6227	0.426256450910694	862.52	716	922	760	1081	857	249.74	158.8
Rv1890c	Rv1890c	hypothetical protein	PBS_RIF_DDmtb:17%; ctl_stationary:15%; hypoxia_late:13%	0.7322	0.569087638524316	867.45	854	771	828	953	938	47.48	26.5
Rv3406	Rv3406	dioxygenase	hypoxia_fatty_acids:52%	0.7439	0.552593758431577	882.23	795	761	1087	943	844	34.27	18.97
MT1096.2	MT1096.2	hypothetical protein	hypoxia_late:55%; ctl_stationary:17%	1.6748	0.954942302231139	783.15	1376	87	83	1783	1778	9.74	0
MT3876.1	MT3876.1	hypothetical protein	tyloxopol:8%	0.8414	0.694194924267911	836.98	1073	603	570	961	1054	83.94	42.98
grcC1	Rv0562	polyprenyl-diphosphate synthase GrcC	high_iron:8%	0.6142	0.436545798189762	868.85	739	937	778	1115	801	405.54	258.66
Rv0083	Rv0083	oxidoreductase	hypoxia_late:24%	0.6121	0.430772347965809	869.02	763	935	833	1105	734	117.46	74.74
Rv2884	Rv2884	transcriptional regulator	hypoxia_late:14%; PBS_RIF_DDmtb:13%	0.6557	0.498751226188542	869.4	797	851	851	1055	805	73.79	45.1
Rv1128c	Rv1128c	hypothetical protein	human_sputum:19%; hypoxia_late:16%; zinc_limitation:11%	0.6438	0.445709259481255	887.21	735	897	1036	1073	725	100.77	62.16
Rv3770c	Rv3770c	hypothetical protein	zinc_limitation:18%; hypoxia_late:12%	0.6966	0.566539648236717	870.04	888	804	789	998	879	58.43	34.13
pstC2	Rv0929	phosphate ABC transporter permease PstC	hypoxia_late:18%	0.6321	0.473026244906458	877.05	793	910	818	1100	783	98.61	61.34
Rv2732c	Rv2732c	transmembrane protein	hypoxia_late:9%	0.6078	0.439890689516207	875.67	769	932	849	1114	739	283.22	181.68
rbsK	Rv2436	ribokinase RbsK	hypoxia_late:24%	0.6856	0.535439051275964	882.39	838	824	952	987	818	49.09	28.92
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	0.6844	0.557672252904362	879.19	845	821	743	1067	937	53.79	31.47
mapB	Rv2861c	methionine aminopeptidase	INDIGO_exponential:12%	0.6044	0.440502533926037	877.44	756	940	802	1130	785	370.88	238.61
echA2	Rv0456c	enoyl-CoA hydratase EchA2	hypoxia_late:19%; ctl_stationary:10%	0.664	0.502852586360168	885.17	789	874	871	1068	836	60.1	35.95
Rv3060c	Rv3060c	GntR family transcriptional regulator	hypoxia_fatty_acids:12%	0.6326	0.463315063023453	885.85	767	887	992	1057	747	67.1	41.93
mazF2	Rv0659c	toxin MazF2	human_sputum:11%	0.6037	0.449121822552705	876.5	788	945	773	1148	758	697.07	448.07
mazF7	Rv2063A	mRNA interferase MazF7	hypoxia_late:29%	0.6797	0.559630533432439	880.08	865	814	830	1037	863	102.61	61.29
nadB	Rv1595	L-aspartate oxidase	microaerophilic:16%; low_iron:12%	0.6248	0.45041337964357	887.53	709	914	842	1079	914	1395.35	888.42
gabT	Rv2589	4-aminobutyrate aminotransferase	microaerophilic:10%	0.6163	0.435874495534487	892.83	741	915	1038	1086	716	143.5	91.52
Rv1322	Rv1322	hypothetical protein	butyrate_plus_glucose:12%	0.612	0.457205799566177	881.23	784	931	817	1140	760	508.11	324.01
Rv3742c	Rv3742c	oxidoreductase	nutrient_limitation:58%; PBS_RIF_DDmtb:21%	0.6272	0.473317539670239	885.59	765	895	896	1102	789	255.01	160.41
Rv1341	Rv1341	non-canonical purine NTP pyrophosphatase	low_iron:15%	0.6204	0.473160958437183	884.98	799	921	811	1124	791	185.68	117.05
Rv3807c	Rv3807c	decaprenylphosphoryl-5-phosphoribose phosphatase	high_iron:10%	0.604	0.456500837104734	883.45	791	941	809	1150	754	353.72	227.05
MT2424	MT2424	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.7017	0.595226345213889	879.67	864	770	735	1077	975	225.82	132.44
menD	Rv0555	bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	hypoxia_late:10%	0.6091	0.450025603328169	889.52	751	950	831	1132	808	217.05	138.48
rfe	Rv1302	decaprenyl-phosphate N-acetylglucosaminephosphotransferase	PBS_RIF_DDmtb:12%	0.6436	0.482933401468063	899.27	790	925	907	1121	774	88.42	54.11
PPE62	Rv3533c	PPE family protein PPE62	microaerophilic:31%; human_sputum:16%; hypoxia_late:14%	0.6096	0.439446604906757	899.47	731	933	1021	1101	742	143.32	91.67
PPE49	Rv3125c	PPE family protein PPE49	hypoxia_late:18%; human_sputum:13%	0.6618	0.504562063533248	901.39	768	857	1053	1038	810	43.73	26.31
Rv0332	Rv0332	hypothetical protein	hypoxia_fatty_acids:19%	0.6189	0.475991702100459	895.75	796	927	864	1126	786	145.76	91.95
Rv0546c	Rv0546c	hypothetical protein	tyloxopol:12%	0.6399	0.534411147015637	885.59	843	863	748	1109	884	129.15	79.83
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	0.712	0.601238385551346	892.3	866	777	816	1042	974	72.82	41.7
Rv0268c	Rv0268c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:12%	0.603	0.457921463855106	892.93	777	946	844	1152	772	451.86	290.29
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	0.6626	0.567182599110346	890.12	884	833	769	1078	901	200.03	121.34
dppA	Rv3666c	dipeptide ABC transporter substrate-binding lipoprotein DppA	hypoxia_late:12%; PBS_RIF_DDmtb:10%	0.6029	0.464283858689585	892.87	802	954	820	1147	767	89.46	57.02
Rv1404	Rv1404	transcriptional regulator	nutrient_limitation:14%	0.6016	0.464273397291871	897.49	747	949	826	1135	854	1478.41	955.35
MT2364.1	MT2364.1	hypothetical protein	ctl_stationary:8%	1.6674	0.965117240287713	820.82	1378	86	161	1762	1780	10.6	0.16
Rv0879c	Rv0879c	transmembrane protein	hypoxia_rar:12%; hypoxia_late:11%	0.6481	0.534687461624667	897.52	831	865	852	1103	850	213.8	131.43
argG	Rv1658	argininosuccinate synthase	hypoxia_late:10%; hypoxia_hypoxic:10%	0.5926	0.460225101694071	896.38	785	968	779	1173	807	245.28	158.61
Rv1703c	Rv1703c	methyltransferase	tyloxopol:9%	0.5994	0.460796621722647	901.09	770	951	854	1145	809	572.36	369.59
argT	Rvnt14	tRNA-Arg	hypoxia_late:13%; tyloxopol:12%; acidic_tyloxopol:11%	0.874	0.792073304428802	875.21	1231	553	500	1066	1177	83.95	41.31
Rv1813c	Rv1813c	hypothetical protein	hypoxia_hypoxic:18%; ctl_stationary:14%; microaerophilic:12%; cholesterol:11%	0.5958	0.464620420820571	900.71	779	942	893	1149	766	387.66	250.84
Rv1276c	Rv1276c	hypothetical protein	hypoxia_late:22%	0.6576	0.55130155143144	911.56	841	836	1007	1061	826	108.12	66.15
Rv3098A	Rv3098A	PemK-like protein	ctl_stationary:12%	0.6473	0.542800349559162	905.62	827	853	909	1092	859	170.8	105.19
PE7	Rv0916c	PE family protein PE7	microaerophilic:43%	0.8024	0.722741353932337	888.78	1106	640	752	906	1088	46.48	24.3
Rv3661	Rv3661	hypothetical protein	low_iron:10%	0.6025	0.473826562686295	908.89	803	963	850	1178	778	208.84	133.42
lytB2	Rv1110	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	INDIGO_exponential:8%	0.599	0.466806635813622	908.91	764	953	890	1141	819	414.99	268.12
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	0.6149	0.483385632975233	914.86	787	918	1002	1122	769	208.36	132.59
glgC	Rv1213	glucose-1-phosphate adenylyltransferase	hypoxia_late:9%	0.6495	0.535837252761717	915.91	824	888	974	1094	814	46.53	28.24
Rv2230c	Rv2230c	GTP cyclohydrolase	hypoxia_late:17%	0.6159	0.482449118969741	919.47	783	920	1059	1110	753	108.92	69.11
prrA	Rv0903c	two component transcriptional regulator PrrA	cholesterol:11%	0.5957	0.476184991156799	910.86	800	948	912	1154	765	224.37	144.94
mmpL7	Rv2942	transmembrane transport protein MmpL7	high_iron:11%	0.5954	0.47330467152639	912.3	744	955	879	1131	874	339.13	220.21
Rv3631	Rv3631	transferase	zinc_limitation:10%; hypoxia_late:10%	0.6123	0.520844049824379	908.75	833	926	803	1158	845	91.48	57.83
echA18.1	Rv3374	enoyl-CoA hydratase echA18_1	hypoxia_late:14%; PBS_RIF_DDmtb:12%	0.7871	0.714440356111643	897.44	1086	658	797	954	1028	58.58	31.41
MT2042.1	MT2042.1	hypothetical protein	PBS_RIF_DDmtb:13%	0.6696	0.608158454408897	904.24	947	819	767	1088	917	125.14	75.45
MT3084	MT3084	hypothetical protein	tyloxopol:10%	0.5967	0.48860266265569	918.72	817	964	841	1196	803	232.2	149.08
Rv1486c	Rv1486c	hypothetical protein	zinc_limitation:13%	0.589	0.476236439019003	916.42	792	966	878	1181	792	303.22	197.06
Rv3577	Rv3577	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:11%	0.6704	0.592985356821121	921.66	870	820	980	1031	915	38.59	22.91
acyP	Rv2922A	acylphosphatase	hypoxia_late:15%	0.6882	0.631438908995785	909.35	962	782	823	1032	960	93.32	55.27
Rv1019	Rv1019	transcriptional regulator	ctl_stationary:10%	0.6184	0.51453149916595	932.79	809	912	1050	1120	795	155.79	98.67
uvrC	Rv1420	excinuclease ABC subunit UvrC	ctl_stationary:9%	0.606	0.49025091082402	934.78	812	986	932	1189	782	99.89	63.13
espJ	Rv3878	ESX-1 secretion-associated protein EspJ	tyloxopol:8%	0.5908	0.489124851720297	923.32	786	983	824	1184	866	701.52	454.77
Rv0492A	Rv0492A	hypothetical protein	hypoxia_late:18%	0.7227	0.660236748408495	916.29	1028	763	872	1020	912	84.76	48.5
vapB35	Rv1962A	antitoxin VapB35	PBS_RIF_DDmtb:9%	0.7408	0.667246952776034	919.69	964	746	867	1035	1002	77.07	42.98
Rv2640c	Rv2640c	ArsR family transcriptional regulator	hypoxia_fatty_acids:11%; hypoxia_late:11%; human_sputum:10%; butyrate:10%	0.6163	0.533146480444772	932.67	823	907	988	1143	821	222.53	141.21
pks7	Rv1661	polyketide synthase	hypoxia_late:29%	0.6011	0.478857931839716	938.94	759	974	1047	1123	817	72.8	46.46
rraA	Rv3853	RNase E regulator RraA	nutrient_limitation:14%	0.5863	0.485386223583326	924.46	813	970	869	1206	793	372.36	242.09
Rv2508c	Rv2508c	integral membrane protein	human_sputum:12%	0.5898	0.493158969670152	927.88	821	969	900	1176	797	99.61	64.25
thrV	Rvnt09	tRNA-Thr	hypoxia_late:18%; hypoxia_hypoxic:13%	1.143	0.921534380531803	880.53	1334	297	359	1394	1469	29.47	9.1
Rv3613c	Rv3613c	hypothetical protein	acidic:22%; acidic_tyloxopol:22%	0.5791	0.486852838706261	926.02	815	981	839	1220	806	1113.26	729.12
pabB	Rv1005c	para-aminobenzoate synthase component I	hypoxia_late:17%	0.5901	0.499438609396866	931.53	820	958	964	1160	779	93.73	60.68
Rv0726c	Rv0726c	S-adenosylmethionine-dependent methyltransferase	human_sputum:12%	0.5919	0.489203778922126	937.02	780	975	949	1185	822	329.41	213.29
Rv0612	Rv0612	hypothetical protein	hypoxia_late:15%	0.6282	0.576997138378693	931.79	881	885	860	1116	928	76.57	47.45
Rv3688c	Rv3688c	hypothetical protein	ctl_exponential:8%	0.5967	0.526886760358006	935.21	842	944	899	1179	832	203.08	130.68
vapB20	Rv2550c	antitoxin VapB20	PBS_RIF_DDmtb:12%	0.6348	0.592487544318075	929.98	908	873	808	1151	927	175.06	108.58
mbtB	Rv2383c	phenyloxazoline synthase	low_iron:51%; hypoxia_late:12%	0.5895	0.501312473960894	938.94	766	980	859	1166	947	356.5	231.77
Rv2219A	Rv2219A	membrane protein	acidic_tyloxopol:10%	0.5806	0.499893683897217	933.85	830	972	888	1207	799	350.85	229.6
Rv0959	Rv0959	hypothetical protein	hypoxia_late:15%	0.5794	0.485367177040069	941.92	805	987	982	1187	777	95.52	62.3
nuoK	Rv3155	NADH-quinone oxidoreductase subunit K	human_sputum:14%; high_iron:13%; butyrate_plus_glucose:11%; tyloxopol:11%	0.6112	0.569908519164603	936.61	879	923	796	1198	910	183.33	115.92
rocA	Rv1187	pyrroline-5-carboxylate dehydrogenase RocA	hypoxia_late:18%	0.6157	0.551047691137665	959.49	855	952	1010	1155	842	44.84	27.84
mec	Rv1334	CysO-cysteine peptidase	tyloxopol:8%	0.5861	0.514981125305163	939.59	829	965	894	1216	820	272.27	176.83
lipZ	Rv1834	hydrolase	PBS_RIF_DDmtb:22%; ctl_stationary:15%; hypoxia_late:13%	0.6297	0.589611136155123	942.49	951	903	902	1108	858	63.08	39.04
gpdA2	Rv2982c	glycerol-3-phosphate dehydrogenase	hypoxia_late:11%; human_sputum:10%	0.5825	0.496783062524852	945.26	825	979	958	1201	790	167.98	109.45
glpD2	Rv3302c	glycerol-3-phosphate dehydrogenase	ctl_exponential:8%	0.5819	0.492798045230288	948.13	806	988	989	1186	798	140.4	91.47
ligA	Rv3014c	DNA ligase A	hypoxia_late:21%	0.5837	0.491125931759113	952.3	798	977	1073	1162	781	100.3	65.18
Rv3284	Rv3284	hypothetical protein	human_sputum:10%	0.5828	0.496477722928133	949.69	807	967	1026	1190	787	531.97	348.25
MT3456.1	MT3456.1	transposase, degenerate	hypoxia_late:35%; ctl_stationary:11%	0.667	0.633775139832481	940.99	934	827	918	1041	992	23.86	13.89
Rv1973	Rv1973	Mce associated membrane protein	hypoxia_late:40%; ctl_stationary:12%	0.8797	0.829715054584659	924.22	1362	582	694	932	1163	12.8	5.68
papA1	Rv3824c	acyltransferase PapA	acidic:17%; nutrient_limitation:14%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:11%	0.5769	0.502413496060509	951.53	801	996	945	1203	838	223.27	146.21
uspC	Rv2318	sugar ABC transporter substrate-binding lipoprotein UspC	hypoxia_late:25%; ctl_stationary:11%	0.6377	0.591590415086622	979.36	846	856	1336	1048	853	31.43	19.27
Rv0024	Rv0024	NLP/P60 family protein	hypoxia_late:18%; microaerophilic:11%	0.6129	0.575258998142058	967.6	852	917	1035	1153	896	64.17	40.3
cysG	Rv2847c	multifunctional uroporphyrin-III C-methyltransferase/precorrin-2 oxidase/ferrochelatase	hypoxia_late:10%	0.573	0.5113236943367	959.36	837	1002	954	1218	812	161.64	105.81
MT3953	MT3953	hypothetical protein	acidic_tyloxopol:14%	0.7274	0.741077036839769	926.92	1095	729	589	1142	1161	97.64	54.8
vapC22	Rv2829c	ribonuclease VapC22	cholesterol:12%; PBS_RIF_DDmtb:11%; microaerophilic:11%	0.5817	0.548516812326004	950.35	871	976	837	1234	860	227.43	147.69
relB	Rv1247c	antitoxin RelB	PBS_RIF_DDmtb:10%	0.6044	0.585542658256565	951.68	921	929	838	1194	895	214.95	137.05
fadD5	Rv0166	fatty-acid--CoA ligase FadD5	acidic:12%; acidic_tyloxopol:12%; butyrate:11%; butyrate_plus_glucose:10%	0.5635	0.506858684274598	956.46	836	1009	914	1225	825	143.06	94.48
glmU	Rv1018c	bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate	tyloxopol:7%	0.5745	0.52293133228555	966.46	828	1013	924	1239	855	230.47	150.44
Rv0837c	Rv0837c	hypothetical protein	hypoxia_fatty_acids:28%; microaerophilic:14%; ctl_stationary:14%; hypoxia_late:11%	0.6565	0.638186173329748	960.69	931	831	1029	1030	990	27.38	16.21
Rv2644c	Rv2644c	hypothetical protein	PBS_RIF_DDmtb:11%	0.6793	0.672629440049353	948.2	1010	813	829	1107	999	75.41	44.58
MT1650.1	MT1650.1	hypothetical protein	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	0.5952	0.575679427756312	969.11	826	939	897	1235	972	170.54	108.78
Rv3698	Rv3698	hypothetical protein	hypoxia_late:26%	0.6547	0.642099465991396	976.51	972	908	950	1117	942	19.78	11.53
emrB	Rv0783c	multidrug resistance protein EmrB	hypoxia_late:10%	0.5732	0.534573323764748	983.2	851	1023	995	1244	830	109.11	70.83
MT3483	MT3483	hypothetical protein	PBS_RIF_DDmtb:13%; hypoxia_late:13%	0.739	0.748961912730268	944.78	1089	722	701	1095	1173	76.54	42.34
ribA1	Rv1940	riboflavin biosynthesis protein RibA	hypoxia_late:24%	0.6556	0.649575916830349	978.08	974	852	1069	1065	939	28.23	16.81
ctpC	Rv3270	manganese/zinc-exporting P-type ATPase	hypoxia_fatty_acids:28%; butyrate:22%; PBS_RIF_DDmtb:13%	0.5589	0.531305736085797	983.31	816	1018	972	1236	899	246.56	164.03
MT3220.1	MT3220.1	hypothetical protein	acidic_tyloxopol:18%; butyrate_plus_glucose:16%; tyloxopol:15%; hypoxia_late:11%	1.2029	0.955714840085632	898.22	1393	217	251	1729	1630	4.68	0
MT3520	MT3520	hypothetical protein	acidic_tyloxopol:17%; butyrate_plus_glucose:14%; tyloxopol:14%; butyrate:14%; low_iron:13%	0.9103	0.878244219616251	937.28	1331	508	502	1119	1459	46.09	21.05
Rv3169	Rv3169	hypothetical protein	butyrate:25%; hypoxia_late:11%	0.5546	0.542137432653868	986.71	859	1016	1001	1249	835	149.4	99.36
Rv0030	Rv0030	hypothetical protein	hypoxia_late:10%; acidic_tyloxopol:10%	0.754	0.773347656447943	976.04	1101	683	913	1044	1181	31.73	17.08
mycP4	Rv3449	membrane-anchored mycosin	hypoxia_late:29%; PBS_RIF_DDmtb:18%	0.633	0.629938879515021	999.24	943	911	1144	1106	905	28.98	17.58
MT2810	MT2810	hypothetical protein	PBS_RIF_DDmtb:10%	0.6188	0.642608340482741	984.79	976	901	917	1199	945	163.74	102.74
Rv2369c	Rv2369c	hypothetical protein	acidic_tyloxopol:18%; butyrate:12%	0.583	0.586582605260061	990.26	900	961	1025	1212	871	277.15	180.16
Rv0560c	Rv0560c	benzoquinone methyltransferase	hypoxia_fatty_acids:90%	0.5526	0.540663344061014	993.98	849	1021	1020	1268	841	220.92	147.18
fadD2	Rv0270	fatty-acid--CoA ligase FadD2	cholesterol:14%	0.5557	0.546311166845939	995.36	834	1030	959	1248	929	370.51	246.84
Rv2228c	Rv2228c	multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase	hypoxia_late:15%	0.5637	0.552277909004754	998.76	860	1005	1084	1238	834	123.46	81.43
mazE4	Rv1494	antitoxin MazE4	high_iron:8%	0.5938	0.609856583148512	985.57	944	959	882	1240	922	193.47	123.93
Rv0123	Rv0123	hypothetical protein	hypoxia_late:13%	0.6149	0.643670519870269	986.94	938	898	903	1202	1009	100.12	62.56
Rv1725c	Rv1725c	hypothetical protein	hypoxia_late:13%; hypoxia_fatty_acids:10%	0.6322	0.666088635011676	986.46	1007	900	883	1169	986	45.21	27.53
Rv2616	Rv2616	hypothetical protein	low_iron:21%	0.5476	0.557663527998922	989.84	889	1038	901	1296	856	336.33	224.32
Rv1186c	Rv1186c	hypothetical protein	hypoxia_late:17%	0.5889	0.587006125018216	1003.57	868	956	1188	1163	867	35.79	22.82
PEP0073	PEP0073	Small peptide in vicinity of Rv0190	acidic_tyloxopol:12%; hypoxia_fatty_acids:10%	0.7882	0.809122922196598	977.74	1173	661	772	1129	1225	102.32	54.05
Rv3714c	Rv3714c	hypothetical protein	zinc_limitation:16%; hypoxia_late:14%	0.5886	0.603938058068658	992.27	932	991	898	1241	918	70.58	44.98
Rv2061c	Rv2061c	hypothetical protein	tyloxopol:10%	0.5577	0.55867231948989	999.69	876	1007	1044	1259	839	369.93	245.88
Rv2307c	Rv2307c	hypothetical protein	hypoxia_late:23%	0.6054	0.619257819688663	1002.07	916	928	1064	1170	944	56.08	35.27
Rv1044	Rv1044	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.7973	0.80896538923782	987.82	1207	692	895	1017	1176	13.03	6.28
lipB	Rv2217	octanoyltransferase	tyloxopol:8%	0.5435	0.560956290133752	992.4	901	1051	874	1307	862	265.16	177.18
Rv1231c	Rv1231c	membrane protein	hypoxia_late:10%	0.568	0.57525260738748	1003.65	872	998	1049	1253	870	173.25	113.73
MT1070	MT1070	hypothetical protein	ctl_stationary:14%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.8511	0.865670794160398	964.47	1328	578	627	1167	1267	48.06	23.57
Rv0953c	Rv0953c	oxidoreductase	hypoxia_late:26%; human_sputum:12%; ctl_stationary:11%	0.5835	0.592210924913982	1004.7	891	947	1178	1180	852	85.13	55.29
Rv1215c	Rv1215c	hypothetical protein	butyrate:7%	0.5524	0.555129940881378	1006.32	856	1040	1016	1271	875	189.69	126.12
cfp6	Rv3004	low molecular weight protein antigen 6	butyrate_plus_glucose:9%	0.5491	0.574303870549016	996.74	904	1033	891	1290	893	351.39	234
cysD	Rv1285	sulfate adenylyltransferase subunit 2	hypoxia_fatty_acids:28%; nutrient_limitation:16%; acidic_tyloxopol:12%	0.5831	0.594382268873092	1005.73	893	960	1137	1195	865	71.11	45.98
