GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	S_687338_Probe_4A_100_S23
Rv1829	Rv1829	hypothetical protein	acidic:10%	6.0329	0.50793247363565	637.62	807	531	664	965	323	391.38	0
Rv3587c	Rv3587c	membrane protein	tyloxopol:15%	6.0791	0.155615427999871	862.5	468	472	416	514	3650	431.83	0
fdxC	Rv1177	ferredoxin FdxC	INDIGO_exponential:8%	6.3752	0.327931682294877	833.7	605	191	157	825	4186	736.5	0
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	5.9455	0.128768792880734	850.07	503	679	578	391	2860	335.67	0
moeB1	Rv3206c	adenylyltransferase/sulfurtransferase	hypoxia_fatty_acids:15%	5.9689	0.123556236829552	863.89	449	645	720	398	2872	345.48	0
gcvH	Rv1826	glycine cleavage system protein H	acidic_tyloxopol:10%	6.1407	0.551579869004975	649.71	824	442	623	1078	397	455.77	0
mpt64	Rv1980c	immunogenic protein Mpt64	acidic_tyloxopol:12%; hypoxia_rar:12%	6.1357	0.157051689288528	873.57	462	423	397	532	3935	474.35	0
Rv2792c	Rv2792c	resolvase	zinc_limitation:27%	5.9657	0.469178601457993	625.11	786	620	636	956	254	352.15	0
eccC3	Rv0284	ESX-3 secretion system protein EccC3	microaerophilic:32%; zinc_limitation:13%; low_iron:11%	5.2477	4.89229650531647e-05	759.16	281	1077	2001	1059	119	734.37	4.34
Rv1046c	Rv1046c	hypothetical protein	human_sputum:20%	6.2134	0.210827337176005	862.3	476	309	351	638	4024	552.88	0
Rv2197c	Rv2197c	transmembrane protein	high_iron:8%	5.9133	0.453581756663407	615.84	829	703	571	913	215	327.05	0
ltp3	Rv3523	lipid carrier protein	cholesterol:10%; nutrient_limitation:10%	5.9975	0.1475911219137	855.57	508	625	730	363	2771	352.79	0
Rv0081	Rv0081	HTH-type transcriptional regulator	ctl_stationary:12%; hypoxia_fatty_acids:11%	6.2309	0.132250334629706	939.39	746	245	231	883	4273	647.12	0
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	6.2755	0.654405357679732	616.74	1044	310	318	1139	514	553.86	0
lppC	Rv1911c	lipoprotein LppC	acidic_tyloxopol:10%	5.9542	0.472487346012746	630.71	815	649	659	937	233	344.56	0
Rv1419	Rv1419	hypothetical protein	ctl_stationary:13%; human_sputum:10%	6.2223	0.23598370660525	856.86	504	292	298	665	4067	577.2	0
Rv1109c	Rv1109c	hypothetical protein	cholesterol:9%	6.1181	0.171588882727945	871.11	481	408	333	580	3983	480.82	0
Rv1342c	Rv1342c	hypothetical protein	low_iron:27%	6.1813	0.6156850844036	644.24	914	396	446	1193	446	487.18	0
amiC	Rv2888c	amidase AmiC	PBS_RIF_DDmtb:9%	5.8669	0.102187659148067	876.04	447	771	836	341	2673	299.24	0
fadA2	Rv0243	acetyl-CoA acetyltransferase FadA	low_iron:14%; high_iron:11%	5.9701	0.1226127680082	879.33	435	694	1003	349	2572	332.64	0
Rv1626	Rv1626	two-component system transcriptional regulator	ctl_exponential:13%; INDIGO_exponential:12%	6.1666	0.192093784735832	873.66	492	369	395	553	3970	504.63	0
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	6.751	0.737285197160589	652.39	1159	80	67	1855	1120	1147.23	0
Rv0496	Rv0496	hypothetical protein	ctl_stationary:8%	5.9702	0.127465617041093	876.93	454	587	537	455	3367	369.23	0
hadA	Rv0635	(3R)-hydroxyacyl-ACP dehydratase subunit HadA	acidic:10%	5.9893	0.531510238742456	648.78	864	552	440	1110	407	383.62	0
Rv3548c	Rv3548c	short-chain type dehydrogenase/reductase	microaerophilic:19%; human_sputum:12%	6.0259	0.153674642740499	877.18	482	528	554	458	3389	394.56	0
Rv2203	Rv2203	membrane protein	low_iron:8%	6.124	0.181550736026346	878.08	513	432	354	536	3939	468.92	0
Rv1117	Rv1117	hypothetical protein	human_sputum:9%	6.3411	0.335728050787254	853.93	619	198	191	804	4223	719.61	0
mrr	Rv2528c	restriction system protein	hypoxia_late:16%; ctl_stationary:12%	5.9888	0.137287894411401	878.69	456	554	498	475	3506	383.31	0
fadA3	Rv1074c	beta-ketoacyl CoA thiolase FadA	PBS_RIF_DDmtb:10%	5.9497	0.120783665690739	895.3	425	676	888	389	2859	337.11	0
fdxD	Rv3503c	ferredoxin FdxD	microaerophilic:21%; hypoxia_fatty_acids:12%	6.4386	0.698808707564992	658.81	1086	193	161	1561	858	733.31	0
Rv1875	Rv1875	hypothetical protein	low_iron:18%; hypoxia_fatty_acids:14%	6.032	0.574407968666128	663.53	898	513	475	1142	424	406.6	0
Rv1465	Rv1465	nitrogen fixation related protein	zinc_limitation:22%; low_iron:21%	6.1733	0.24783678428474	870.59	527	313	278	693	4081	550.26	0
fadE24	Rv3139	acyl-CoA dehydrogenase FadE24	low_iron:25%	5.8164	0.102679500308019	892	465	807	661	399	2881	289.65	0
hspR	Rv0353	heat shock protein transcriptional repressor HspR	hypoxia_fatty_acids:11%; microaerophilic:11%	6.2728	0.296965752929815	876.28	540	248	277	777	4161	646.39	0
TB18.5	Rv0164	hypothetical protein	tyloxopol:9%	6.1723	0.243027363151614	873.62	522	312	281	707	4086	551.38	0
Rv0049	Rv0049	hypothetical protein	microaerophilic:8%	6.2248	0.300677148956812	867.16	584	267	225	748	4145	605.54	0
Rv0192A	Rv0192A	conserved secreted protein	acidic:11%; hypoxia_late:10%	6.1555	0.623642322072655	671.78	959	361	308	1270	699	506.7	0
esxI	Rv1037c	ESAT-6 like protein EsxI	ctl_exponential:9%	5.3724	0.00818526002782562	805.19	493	865	1369	1859	103	1354.93	7.61
Rv1747	Rv1747	ABC transporter ATP-binding protein/permease	tyloxopol:9%	5.6461	0.0629881565348537	892.52	517	1248	1126	231	1811	204.1	0
Rv2199c	Rv2199c	cytochrome c oxidase polypeptide 4	INDIGO_exponential:15%; tyloxopol:12%; ctl_exponential:12%	6.0402	0.0811027720505009	986.46	651	343	291	922	4301	524.01	0
hsaB	Rv3567c	flavin-dependent monooxygenase reductase subunit HsaB	hypoxia_fatty_acids:14%; nutrient_limitation:11%	5.9097	0.512669959450599	677.83	858	661	640	990	339	341.58	0
secE2	Rv0379	protein translocase subunit SecE	tyloxopol:16%; acidic_tyloxopol:11%; butyrate_plus_glucose:10%	6.4067	0.72060536655429	665.47	1113	220	252	1376	774	688.86	0
prsA	Rv1017c	ribose-phosphate pyrophosphokinase	tyloxopol:11%	5.958	0.13859329824798	904.34	459	590	599	465	3435	366.45	0
kstD	Rv3537	3-oxosteroid 1-dehydrogenase	hypoxia_fatty_acids:31%; human_sputum:11%	5.7834	0.0987327313737509	904.6	483	915	939	317	2471	263.81	0
Rv2028c	Rv2028c	universal stress protein	cholesterol:17%; hypoxia_hypoxic:16%; ctl_stationary:13%	6.0405	0.179293185912416	902.81	500	499	513	509	3639	412.28	0
Rv1883c	Rv1883c	hypothetical protein	INDIGO_exponential:15%; high_iron:11%; ctl_exponential:10%	5.9787	0.566073857939304	679.38	888	549	469	1186	441	384.33	0
Rv2345	Rv2345	transmembrane protein	butyrate_plus_glucose:8%	5.6989	0.0773103027682248	906.32	489	1071	931	284	2335	234.59	0
moaE2	Rv0866	molybdopterin synthase catalytic subunit 2	microaerophilic:23%	6.1033	0.642618677937639	649.06	1036	468	454	1065	385	435.17	0
Rv1481	Rv1481	membrane protein	high_iron:9%	5.934	0.146096826469019	901.78	496	610	526	467	3438	356.5	0
rplI	Rv0056	50S ribosomal protein L9	zinc_limitation:16%	5.9585	0.553541041746703	686.07	910	561	489	1092	482	379.47	0
Rv3861	Rv3861	hypothetical protein	hypoxia_fatty_acids:35%; zinc_limitation:24%	6.3388	0.393417809882543	864.17	724	201	163	794	4219	716.53	0
Rv0991c	Rv0991c	hypothetical protein	ctl_stationary:21%; hypoxia_fatty_acids:20%; microaerophilic:10%	6.1346	0.623616443248604	695.88	921	401	424	1313	610	483.28	0
Rv0863	Rv0863	hypothetical protein	INDIGO_exponential:8%	6.4576	0.44766361507225	864.45	784	155	168	816	4229	825.52	0
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	5.9747	0.564673460581323	691.88	884	634	1025	906	210	350.67	0
ansP2	Rv0346c	L-asparagine permease	ctl_exponential:9%	5.8073	0.104435781652094	913.45	461	824	850	364	2778	283.03	0
inhA	Rv1484	NADH-dependent enoyl-[ACP] reductase	zinc_limitation:12%	6.0069	0.162403076811534	919.32	477	508	470	523	3928	406.77	0
PE_PGRS57	Rv3514	PE-PGRS family protein PE_PGRS57	cholesterol:24%; hypoxia_late:20%	5.3965	0.00112479149716883	857.5	624	1831	1705	180	573	138.64	0
PPE2	Rv0256c	PPE family protein PPE2	hypoxia_late:11%	5.7621	0.098866085550801	921.63	478	942	874	352	2592	261.8	0
Rv0078B	Rv0078B	hypothetical protein	human_sputum:16%	6.326	0.702816816487679	709	1056	240	207	1660	901	655.43	0
rpmH	Rv3924c	50S ribosomal protein L34	INDIGO_exponential:10%	6.5091	0.747561051927708	703.29	1134	143	155	1763	1058	849.85	0
espF	Rv3865	ESX-1 secretion-associated protein EspF	microaerophilic:10%	6.3824	0.424608136654504	876.72	731	179	214	788	4216	751.5	0
Rv2074	Rv2074	pyridoxamine 5'-phosphate oxidase	tyloxopol:11%; high_iron:10%	6.066	0.638481548157413	684.97	985	480	471	1199	451	426.55	0
fadE23	Rv3140	acyl-CoA dehydrogenase FadE23	low_iron:25%	5.8619	0.124062978468519	926.62	471	730	690	438	3168	316.91	0
Rv1194c	Rv1194c	hypothetical protein	low_iron:10%	5.8544	0.121664015355822	936.44	460	747	840	404	3041	309.13	0
TB15.3	Rv1636	iron-regulated universal stress protein	hypoxia_hypoxic:10%	6.0165	0.0966733433181331	991.86	677	366	290	893	4278	505.64	0
Rv1558	Rv1558	hypothetical protein	zinc_limitation:12%	5.9509	0.577856750006645	700.61	941	557	461	1145	518	380.35	0
Rv1322	Rv1322	hypothetical protein	butyrate_plus_glucose:12%	6.1481	0.650971061596474	707.03	995	360	347	1333	745	507.23	0
Rv2302	Rv2302	hypothetical protein	acidic:9%	6.2755	0.70511647413453	708.79	1084	275	286	1458	813	598.2	0
mbtL	Rv1344	acyl carrier protein MbtL	low_iron:21%; human_sputum:13%	6.1641	0.676581674934156	699.68	1035	372	386	1323	614	500.48	0
ilvA	Rv1559	threonine dehydratase IlvA	zinc_limitation:9%	5.8365	0.125117710189446	931.62	479	761	786	402	3031	302.68	0
Rv0730	Rv0730	GCN5-like N-acetyltransferase	tyloxopol:8%	5.7947	0.479068069356384	713.71	843	818	908	939	230	286.28	0
ribH	Rv1416	6,7-dimethyl-8-ribityllumazine synthase	INDIGO_exponential:9%	5.9481	0.574176143912931	715.35	893	583	611	1163	436	369.92	0
Rv1303	Rv1303	hypothetical protein	INDIGO_exponential:15%; tyloxopol:12%; ctl_exponential:10%	5.8933	0.568296914631488	706.52	937	614	486	1105	494	353.91	0
tmk	Rv3247c	thymidylate kinase	PBS_RIF_DDmtb:33%; nutrient_limitation:12%	6.1387	0.262014269246573	918.12	576	397	455	543	3962	486.68	0
tatB	Rv1224	Sec-independent protein translocase protein TatB	PBS_RIF_DDmtb:17%; microaerophilic:10%	6.1268	0.155056983875351	982.13	759	296	292	872	4267	571.24	0
Rv0818	Rv0818	transcriptional regulator	microaerophilic:18%	5.9863	0.183814728987858	937.7	515	505	466	547	3965	408.51	0
pknA	Rv0015c	serine/threonine-protein kinase PknA	microaerophilic:20%	5.8712	0.126523692227182	950.5	445	741	988	417	2914	310.49	0
Rv3213c	Rv3213c	SOJ/ParA-like protein	ctl_exponential:12%	6.0131	0.184081456754891	943.03	495	500	542	527	3931	410	0
TB9.4	Rv3208A	hypothetical protein	ctl_exponential:12%	6.2228	0.708453314808978	712.84	1099	308	366	1328	741	552.11	0
Rv2619c	Rv2619c	hypothetical protein	low_iron:16%; butyrate:13%; hypoxia_fatty_acids:12%	6.2482	0.360475067826062	907.28	631	242	254	833	4242	650.71	0
kstR	Rv3574	HTH-type transcriptional regulator KstR	hypoxia_fatty_acids:27%	6.0798	0.266934740792208	916.15	607	413	325	615	4039	477.23	0
Rv2696c	Rv2696c	hypothetical protein	PBS_RIF_DDmtb:8%	5.9848	0.185687282811793	941.09	525	512	482	528	3958	405.31	0
MT2944	MT2944	hypothetical protein	PBS_RIF_DDmtb:54%	6.1757	0.338709199160981	906.98	636	281	230	808	4226	594.31	0
pmmA	Rv3257c	phosphomannomutase PmmA	ctl_exponential:9%	5.7666	0.114980836831456	947.71	488	845	743	408	3059	279.5	0
MT2092	MT2092	hypothetical protein	cholesterol:26%; hypoxia_fatty_acids:12%; ctl_stationary:10%	6.5336	0.774070228782192	721.11	1215	123	136	1785	1184	910.53	0
end	Rv0670	endonuclease IV	PBS_RIF_DDmtb:15%	5.7562	0.516449669768482	722.24	928	871	807	942	234	273.91	0
yajC	Rv2588c	membrane protein secretion factor YajC	zinc_limitation:9%	6.0568	0.640842267173448	731.94	972	449	375	1418	670	448.46	0
ponA1	Rv0050	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	microaerophilic:9%	5.6819	0.0845313197959036	954.09	497	1108	1159	279	2315	229.38	0
cspB	Rv0871	cold shock-like protein CspB	acidic:8%	6.1648	0.339500657992224	907.89	647	288	250	763	4201	581.37	0
rraA	Rv3853	RNase E regulator RraA	nutrient_limitation:14%	5.945	0.597079050762461	736.61	904	578	657	1201	454	370.65	0
Rv1466	Rv1466	hypothetical protein	low_iron:19%; zinc_limitation:18%	6.2648	0.370483681973248	922.85	612	236	321	828	4238	662.46	0
fabG1	Rv1483	3-oxoacyl-ACP reductase FabG	hypoxia_rar:14%; zinc_limitation:10%	5.7502	0.495971697079549	740.17	874	872	884	966	260	274.78	0
ung	Rv2976c	uracil-DNA glycosylase	acidic_tyloxopol:13%; zinc_limitation:10%	5.7925	0.522992913977662	744.17	868	794	901	1015	285	291.77	0
Rv2406c	Rv2406c	hypothetical protein	cholesterol:12%; acidic:10%; acidic_tyloxopol:10%	6.0349	0.6886830155331	706.71	1101	496	467	1197	452	411.36	0
Rv1401	Rv1401	membrane protein	butyrate:9%	5.857	0.571659371284728	738.8	950	713	842	975	329	319.96	0
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	5.9306	0.16879431648968	951.88	505	569	468	552	3945	375.92	0
deoC	Rv0478	deoxyribose-phosphate aldolase	ctl_stationary:8%	5.7561	0.521359688073483	737.89	909	823	738	988	338	285.5	0
Rv1813c	Rv1813c	hypothetical protein	hypoxia_hypoxic:18%; ctl_stationary:14%; microaerophilic:12%; cholesterol:11%	5.9582	0.613521612442333	742.14	939	543	576	1209	552	386.6	0
Rv2536	Rv2536	transmembrane protein	human_sputum:8%	6.0341	0.209888088703361	959.01	511	462	550	583	3987	437.9	0
Rv2182c	Rv2182c	1-acylglycerol-3-phosphate O-acyltransferase	acidic:12%	5.7401	0.505868363272843	744.7	889	879	868	976	265	272.29	0
Rv1532c	Rv1532c	hypothetical protein	hypoxia_late:9%	6.1416	0.334731487246802	929.91	608	306	297	809	4179	559.34	0
Rv0036c	Rv0036c	hypothetical protein	hypoxia_late:8%	5.7388	0.496751011936885	750.8	871	901	967	948	243	269.26	0
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	5.8765	0.579944393993928	750.47	916	681	728	1116	409	337.24	0
prcB	Rv2110c	proteasome subunit beta	INDIGO_exponential:8%	5.9326	0.167142919059348	963.28	502	576	530	531	3933	374.35	0
Rv3633	Rv3633	hypothetical protein	acidic:19%; acidic_tyloxopol:16%	5.9346	0.169582644742512	965.39	499	570	553	526	3930	374.15	0
moaC2	Rv0864	cyclic pyranopterin monophosphate synthase accessory protein	microaerophilic:15%	6.0739	0.288331409069048	945.79	555	367	400	718	4129	504.99	0
Rv3081	Rv3081	hypothetical protein	ctl_stationary:14%; hypoxia_late:13%	5.8226	0.141549810551511	966.61	498	760	776	447	3200	304.34	0
mutT3	Rv0413	8-oxo-dGTP diphosphatase	hypoxia_late:12%	5.7758	0.553967427233736	744.95	960	796	723	1005	349	293.05	0
nuoJ	Rv3154	NADH-quinone oxidoreductase subunit J	high_iron:15%; butyrate_plus_glucose:13%; tyloxopol:11%	5.7086	0.48939332741731	751.31	890	946	867	960	257	261.27	0
lppM	Rv2171	lipoprotein LppM	PBS_RIF_DDmtb:11%	5.747	0.519408885168661	754.34	903	832	839	978	331	281.67	0
Rv3807c	Rv3807c	decaprenylphosphoryl-5-phosphoribose phosphatase	high_iron:10%	5.8999	0.617660265323932	739.97	990	618	551	1212	458	352.67	0
MT1775	MT1775	hypothetical protein	nutrient_limitation:42%; cholesterol:23%	6.3487	0.531228281391937	908.9	958	212	177	756	4151	700.77	0
Rv1158c	Rv1158c	hypothetical protein	tyloxopol:14%; hypoxia_late:11%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	5.966	0.21430795366726	952.75	533	489	429	618	4040	418.67	0
Rv0726c	Rv0726c	S-adenosylmethionine-dependent methyltransferase	human_sputum:12%	5.8742	0.148138599948466	983.87	480	696	860	452	3359	329.86	0
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	5.9902	0.121642726205524	1037.91	859	378	295	867	4318	498.98	0
Rv1544	Rv1544	ketoacyl reductase	ctl_exponential:10%	5.9346	0.185396041466119	971.67	519	546	536	555	3969	385.62	0
lpqE	Rv3584	lipoprotein LpqE	hypoxia_hypoxic:10%	6.0251	0.265857111060801	954.7	564	429	385	690	4114	472.09	0
rpsQ	Rv0710	30S ribosomal protein S17	INDIGO_exponential:11%; hypoxia_rar:10%	6.1365	0.356727653904112	940.58	639	299	303	806	4222	567.72	0
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	6.057	0.295615207683827	953.25	575	374	361	762	4154	500.35	0
lexA	Rv2720	repressor LexA	zinc_limitation:16%	5.9974	0.233863288564213	966.42	546	485	506	592	3997	422.72	0
Rv1941	Rv1941	short-chain type dehydrogenase/reductase	INDIGO_exponential:9%	5.7173	0.504537440952295	768.31	892	923	934	981	271	265.34	0
Rv0460	Rv0460	hypothetical protein	acidic_tyloxopol:9%	6.1645	0.718328943981128	759.38	1103	311	293	1531	942	549.91	0
Rv2850c	Rv2850c	magnesium chelatase	microaerophilic:16%; hypoxia_late:12%	5.6871	0.103710525311227	987.27	507	1055	1179	319	2491	236.45	0
Rv1639c	Rv1639c	hypothetical protein	acidic_tyloxopol:13%; butyrate:12%; butyrate_plus_glucose:10%	5.7966	0.133833149507959	989.76	491	843	1124	378	2824	281.27	0
metE	Rv1133c	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	microaerophilic:14%	4.9737	9.60088780265975e-05	790.34	320	1211	1605	1168	186	2015.86	16.74
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	6.021	0.284354803692247	963.11	578	419	381	721	4133	476.25	0
Rv3678c	Rv3678c	hypothetical protein	high_iron:9%	6.0768	0.325255161943989	955.31	596	342	377	753	4196	523.62	0
fadD3	Rv3561	fatty-acid--CoA ligase FadD3	human_sputum:37%; hypoxia_late:23%	5.7115	0.123982311976693	984.23	536	948	816	386	2993	260.4	0
ansP1	Rv2127	L-asparagine permease	tyloxopol:12%; INDIGO_exponential:11%; high_iron:10%	5.7097	0.11916147846328	987.84	524	927	761	420	3106	263.19	0
Rv0390	Rv0390	hypothetical protein	human_sputum:11%	5.9348	0.633865421072529	765.99	976	553	535	1299	598	382.17	0
Rv2616	Rv2616	hypothetical protein	low_iron:21%	5.8387	0.604952361182912	772.26	991	677	561	1192	540	335.66	0
Rv3271c	Rv3271c	integral membrane protein	butyrate:20%; PBS_RIF_DDmtb:17%; hypoxia_fatty_acids:11%	5.9444	0.23538953628073	967.07	547	493	435	644	4053	414.51	0
Rv0653c	Rv0653c	transcriptional regulator	high_iron:13%; tyloxopol:12%	5.9789	0.2294136276191	981.65	528	487	533	631	4020	420.11	0
mce1B	Rv0170	Mce family protein Mce1B	acidic:16%; acidic_tyloxopol:10%	5.8515	0.157798294959991	991	509	692	656	511	3638	331.05	0
rnc	Rv2925c	ribonuclease III	microaerophilic:9%	5.7332	0.533368155439047	787.52	894	868	1000	1032	296	273.23	0
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	5.9127	0.19107004592338	984.35	526	566	539	570	3976	376.72	0
esxN	Rv1793	ESAT-6 like protein EsxN	acidic:9%	5.3332	0.0114793094945432	922.58	512	891	2071	1900	106	1344.28	7.87
Rv2081c	Rv2081c	transmembrane protein	acidic_tyloxopol:11%	5.9202	0.629187886600949	781.04	974	575	641	1247	572	372.65	0
Rv3723	Rv3723	transmembrane protein	microaerophilic:9%	5.927	0.211511309614044	982.48	530	540	505	610	4006	391.11	0
efp	Rv2534c	elongation factor P	low_iron:9%	6.02	0.307092007387726	969.96	632	433	398	664	4103	465.85	0
Rv1097c	Rv1097c	hypothetical protein	tyloxopol:11%	5.6413	0.486834342697737	777.15	922	1045	989	921	222	238.87	0
mpt63	Rv1926c	immunogenic protein Mpt63	tyloxopol:12%	6.0708	0.342353769898276	966.34	618	355	371	781	4163	511.68	0
MTS2292	MTS2292	small intergenic RNA	acidic_tyloxopol:16%	6.0348	0.288797304229393	984.26	559	409	500	700	4119	478.77	0
ppsE	Rv2935	phthiocerol synthesis polyketide synthase type I PpsE	hypoxia_rar:10%	5.0215	0.000114167203584783	845.18	420	1442	1978	1081	91	340.51	1.83
Rv0681	Rv0681	transcriptional regulator	ctl_stationary:24%; microaerophilic:15%	5.798	0.606378619021874	788.63	986	754	767	1123	414	308.27	0
Rv3542c	Rv3542c	hypothetical protein	human_sputum:17%; hypoxia_fatty_acids:16%	5.595	0.467202968871539	774.33	927	1121	930	909	212	225.66	0
rplY	Rv1015c	50S ribosomal protein L25	hypoxia_rar:11%	5.7212	0.572866785287841	793.11	968	837	741	1112	408	281.37	0
lprF	Rv1368	lipoprotein LprF	acidic:15%	5.6821	0.553772794935662	787.89	993	967	856	1006	281	256.09	0
Rv0236A	Rv0236A	hypothetical protein	ctl_exponential:21%; human_sputum:11%	6.3029	0.785860374860053	788.34	1199	226	209	1845	1110	680.17	0
Rv3222c	Rv3222c	hypothetical protein	microaerophilic:12%	5.8197	0.611575660525818	805.94	943	712	838	1191	445	319.78	0
Rv1847	Rv1847	esterase	low_iron:11%	6.0133	0.742797522616745	751.79	1240	510	565	1106	496	406.86	0
accE5	Rv3281	bifunctional protein acetyl-/propionyl-CoAcarboxylase subunit epsilon AccE	ctl_exponential:14%; acidic:10%	5.7755	0.606229667253474	803.53	1005	735	604	1213	553	312.83	0
fadA4	Rv1323	acetyl-CoA acetyltransferase	zinc_limitation:7%	5.0148	0.000470027426213831	825.03	373	1201	1745	1284	145	953.5	6.8
Rv3722c	Rv3722c	hypothetical protein	high_iron:8%	5.7494	0.141836959652415	1017.8	520	834	882	428	3300	283.27	0
rpfE	Rv2450c	resuscitation-promoting factor RpfE	hypoxia_rar:25%; zinc_limitation:20%; hypoxia_late:12%	6.0338	0.370613234370068	968.01	700	400	306	742	4144	484.87	0
Rv0249c	Rv0249c	succinate dehydrogenase membrane anchor subunit	tyloxopol:10%	5.6328	0.513870249768373	799.51	948	1031	869	1024	289	242.82	0
Rv2327	Rv2327	hypothetical protein	human_sputum:19%; butyrate_plus_glucose:12%	5.8698	0.661730109936139	782.64	1075	647	622	1150	520	346.46	0
viuB	Rv2895c	mycobactin utilization protein ViuB	hypoxia_late:9%	5.6312	0.505233423039896	804.19	929	1042	1013	964	261	239.19	0
Rv0184	Rv0184	hypothetical protein	zinc_limitation:18%; PBS_RIF_DDmtb:10%	5.653	0.531488549489129	802.38	971	977	826	1009	350	254.27	0
vapB24	Rv0239	antitoxin VapB24	INDIGO_exponential:9%	6.2006	0.778990735775371	770.17	1282	295	272	1506	929	570.89	0
fadE10	Rv0873	acyl-CoA dehydrogenase FadE10	acidic:9%	5.612	0.0995807164860384	1016.79	531	1150	1087	328	2642	221.36	0
Rv0177	Rv0177	Mce associated protein	INDIGO_exponential:10%	5.7692	0.609960218814316	805.62	1020	753	695	1130	509	307.4	0
Rv3915	Rv3915	peptidoglycan hydrolase	PBS_RIF_DDmtb:8%	5.7459	0.155749621342328	1015.73	543	812	694	481	3514	289.24	0
rpmC	Rv0709	50S ribosomal protein L29	ctl_exponential:11%	6.1322	0.745493800516438	794.27	1158	322	276	1653	1003	540.96	0
Rv3521	Rv3521	hypothetical protein	human_sputum:13%	5.6251	0.523722260992864	795.13	987	1081	1035	904	209	233.37	0
Rv3224A	Rv3224A	conserved hypothetical protein	tyloxopol:11%; high_iron:11%	6.2722	0.783488168757623	796.26	1203	246	267	1757	1054	645.67	0
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	5.7037	0.569810092412509	806.73	977	877	844	1061	381	272.65	0
Rv3284	Rv3284	hypothetical protein	human_sputum:10%	6.0807	0.400126800698118	976.45	699	331	313	830	4239	535.23	0
eccB3	Rv0283	ESX-3 secretion system protein EccB3	microaerophilic:45%; zinc_limitation:15%	4.9288	0.000170517024726823	814.69	360	1275	1589	1237	169	1209.81	9.87
MT0568	MT0568	hypothetical protein	acidic_tyloxopol:10%	5.8244	0.644773683205411	790.18	1051	706	684	1104	492	326.58	0
lprC	Rv1275	lipoprotein LprC	tyloxopol:9%	5.869	0.131481455065206	1069.15	674	486	448	846	4255	421.31	0
lhr	Rv3296	ATP-dependent helicase	hypoxia_late:19%; zinc_limitation:12%	5.3159	0.00305173253967082	967.7	686	1945	2028	202	676	130.34	0
cysQ	Rv2131c	3'-phosphoadenosine 5'-phosphate phosphatase	microaerophilic:12%	5.9268	0.267196851936427	994.51	627	551	490	574	3978	383.6	0
Rv0461	Rv0461	transmembrane protein	human_sputum:10%	5.7835	0.617106744764175	811.09	1017	728	616	1228	560	316.86	0
mapB	Rv2861c	methionine aminopeptidase	INDIGO_exponential:12%	5.9073	0.202250226206316	1024.79	516	581	700	571	3955	368.94	0
qcrB	Rv2196	ubiquinol-cytochrome C reductase cytochrome subunit B	INDIGO_exponential:11%; tyloxopol:11%; microaerophilic:10%	5.0944	0.0003580468793349	892.9	355	1179	2455	1254	127	723.15	4.45
Rv3220c	Rv3220c	two component sensor kinase	INDIGO_exponential:9%	5.6936	0.135189950731184	1024.49	545	958	879	419	3094	257.93	0
dnaJ1	Rv0352	chaperone protein DnaJ	microaerophilic:16%; hypoxia_fatty_acids:13%	5.0159	0.000364016064948712	853.79	389	1227	2015	1267	118	1046.96	7.8
MT3052.2	MT3052.2	ribosomal protein L28	acidic_tyloxopol:12%; acidic:12%; hypoxia_rar:12%	6.1758	0.768176130787826	803.29	1236	282	226	1683	1136	592.75	0
phoP	Rv0757	two component system response transcriptional positive regulator PhoP	hypoxia_fatty_acids:8%	5.9173	0.237261421754532	1017.41	542	536	597	635	4022	391.67	0
pepR	Rv2782c	zinc protease	high_iron:10%	5.7337	0.158911353927176	1024.12	560	849	823	435	3325	278.66	0
Rv3241c	Rv3241c	hypothetical protein	acidic:14%; cholesterol:10%	5.7042	0.583254782670833	815.69	989	851	764	1146	428	277.94	0
Rv2680	Rv2680	hypothetical protein	high_iron:10%	5.7255	0.587550776950812	823.53	969	830	834	1153	429	285.15	0
Rv0308	Rv0308	integral membrane protein	zinc_limitation:10%	5.689	0.55668851989382	828.51	954	920	1023	1016	355	265.84	0
